module module 1 6
dbguart token 1 14
( ( 1 16
input input 2 10
clk token 2 14
, , 3 5
input input 3 10
resetn token 3 17
, , 4 5
input input 4 10
rxd token 4 14
, , 5 5
output output 5 11
txd token 5 15
, , 7 5
output output 7 11
[ [ 7 13
13 number 7 15
: : 7 16
0 number 7 17
] ] 7 18
ram_addr token 7 27
, , 8 5
input input 8 10
[ [ 8 12
47 number 8 14
: : 8 15
0 number 8 16
] ] 8 17
ram_rdata token 8 28
, , 9 5
output output 9 11
[ [ 9 13
47 number 9 15
: : 9 16
0 number 9 17
] ] 9 18
ram_wdata token 9 29
, , 10 5
output output 10 11
ram_read token 10 20
, , 11 5
output output 11 11
ram_write token 11 21
) ) 13 1
; ; 13 2
parameter parameter 16 9
DOTS_CHAR token 16 19
= = 16 21
58 number 16 24
; ; 16 25
parameter parameter 17 9
CRLF token 17 14
= = 17 16
10 number 17 19
; ; 17 20
parameter parameter 18 9
DOT_CHAR token 18 18
= = 18 20
8'h2e uhex 18 22
; ; 18 27
parameter parameter 19 9
EQ_CHAR token 19 17
= = 19 19
8'h3d uhex 19 21
; ; 19 26
parameter parameter 20 9
GT_CHAR token 20 17
= = 20 19
8'h3e uhex 20 21
; ; 20 26
parameter parameter 21 9
PLUS_CHAR token 21 19
= = 21 21
8'h2b uhex 21 23
; ; 21 28
parameter parameter 22 9
QUESTION_CHAR token 22 23
= = 22 25
8'h3f uhex 22 27
; ; 22 32
parameter parameter 24 9
D_CHAR token 24 16
= = 24 18
8'h44 uhex 24 20
; ; 24 25
parameter parameter 25 9
B_CHAR token 25 16
= = 25 18
8'h42 uhex 25 20
; ; 25 25
parameter parameter 26 9
G_CHAR token 26 16
= = 26 18
8'h47 uhex 26 20
; ; 26 25
parameter parameter 27 9
ZERO_CHAR token 27 19
= = 27 21
8'h30 uhex 27 23
; ; 27 28
reg reg 30 3
write_tx token 30 12
; ; 30 13
wire wire 31 4
rx_valid token 31 13
; ; 31 14
wire wire 32 4
tx_empty token 32 13
; ; 32 14
wire wire 35 4
[ [ 35 6
7 number 35 7
: : 35 8
0 number 35 9
] ] 35 10
txdata token 35 17
, , 35 18
rxdata token 35 24
, , 35 25
status token 35 31
, , 35 32
control token 35 39
; ; 35 40
wire wire 36 4
[ [ 36 6
15 number 36 8
: : 36 9
0 number 36 10
] ] 36 11
baudrate token 36 20
; ; 36 21
uartx2 token 38 6
uartx2 token 38 13
( ( 38 15
. . 39 4
clk token 39 7
( ( 39 8
clk token 39 11
) ) 39 12
, , 40 3
. . 40 4
nreset token 40 10
( ( 40 11
resetn token 40 17
) ) 40 18
, , 41 3
. . 41 4
txd token 41 7
( ( 41 8
txd token 41 11
) ) 41 12
, , 42 3
. . 42 4
rxd token 42 7
( ( 42 8
rxd token 42 11
) ) 42 12
, , 44 3
. . 44 4
control token 44 11
( ( 44 12
control token 44 19
[ [ 44 20
7 number 44 21
: : 44 22
0 number 44 23
] ] 44 24
) ) 44 25
, , 45 3
. . 45 4
write_tx token 45 12
( ( 45 13
write_tx token 45 21
) ) 45 22
, , 46 3
. . 46 4
read_rx token 46 11
( ( 46 12
rx_valid token 46 20
) ) 46 21
, , 47 3
. . 47 4
rxdata token 47 10
( ( 47 11
rxdata token 47 17
[ [ 47 18
7 number 47 19
: : 47 20
0 number 47 21
] ] 47 22
) ) 47 23
, , 48 3
. . 48 4
txdata token 48 10
( ( 48 11
txdata token 48 17
[ [ 48 18
7 number 48 19
: : 48 20
0 number 48 21
] ] 48 22
) ) 48 23
, , 49 3
. . 49 4
tx_empty token 49 12
( ( 49 13
tx_empty token 49 21
) ) 49 22
, , 50 3
. . 50 4
status token 50 10
( ( 50 11
status token 50 17
[ [ 50 18
7 number 50 19
: : 50 20
0 number 50 21
] ] 50 22
) ) 50 23
, , 51 3
. . 51 4
baudrate token 51 12
( ( 51 13
baudrate token 51 21
[ [ 51 22
15 number 51 24
: : 51 25
0 number 51 26
] ] 51 27
) ) 51 28
, , 52 3
. . 52 4
rx_valid token 52 12
( ( 52 13
rx_valid token 52 21
) ) 52 22
) ) 53 1
; ; 53 2
reg reg 56 3
[ [ 56 5
7 number 56 6
: : 56 7
0 number 56 8
] ] 56 9
rxfifo token 56 16
[ [ 56 18
0 number 56 19
: : 56 20
17 number 56 22
] ] 56 23
; ; 56 24
wire wire 57 4
[ [ 57 6
7 number 57 7
: : 57 8
0 number 57 9
] ] 57 10
rxfifo0 token 57 18
= = 57 20
rxfifo token 57 27
[ [ 57 28
0 number 57 29
] ] 57 30
; ; 57 31
wire wire 58 4
