module module 2 6
sqrt_u40_5 token 2 17
( ( 2 19
input input 2 25
clk token 2 29
, , 2 30
input input 2 35
rst_n token 2 41
, , 2 42
input input 2 47
en token 2 50
, , 2 51
input input 2 56
vldin token 2 62
, , 2 63
input input 2 69
[ [ 2 71
39 number 2 73
: : 2 74
0 number 2 75
] ] 2 76
ain token 2 80
, , 2 81
output output 2 88
reg reg 2 92
[ [ 2 94
19 number 2 96
: : 2 97
0 number 2 98
] ] 2 99
out token 2 103
, , 2 104
output output 2 110
reg reg 2 114
vldout token 2 121
) ) 2 122
; ; 2 123
reg reg 4 3
vld20 token 4 9
; ; 4 10
always always 5 6
@ @ 5 8
( ( 5 9
posedge posedge 5 16
clk token 5 20
) ) 5 21
if if 5 24
( ( 5 26
en token 5 28
) ) 5 29
vld20 token 5 35
<= sm_eq 5 38
vldin token 5 44
; ; 5 45
reg reg 6 3
[ [ 6 5
39 number 6 7
: : 6 8
0 number 6 9
] ] 6 10
datain20 token 6 19
; ; 6 20
always always 7 6
@ @ 7 8
( ( 7 9
posedge posedge 7 16
clk token 7 20
) ) 7 21
if if 7 24
( ( 7 26
en token 7 28
) ) 7 29
datain20 token 7 38
<= sm_eq 7 41
ain token 7 45
; ; 7 46
wire wire 8 4
[ [ 8 6
39 number 8 8
: : 8 9
0 number 8 10
] ] 8 11
Y20 token 8 15
= = 8 17
0 number 8 19
; ; 8 20
wire wire 9 4
[ [ 9 6
39 number 9 8
: : 9 9
0 number 9 10
] ] 9 11
YY20 token 9 16
= = 9 18
0 number 9 20
; ; 9 21
wire wire 10 4
[ [ 10 6
39 number 10 8
: : 10 9
0 number 10 10
] ] 10 11
Decra19 token 10 19
= = 10 21
( ( 10 23
40'b1 bin 10 28
<< shift_left 10 30
( ( 10 31
2 number 10 32
* * 10 33
19 number 10 35
) ) 10 36
) ) 10 37
; ; 10 38
wire wire 11 4
[ [ 11 6
39 number 11 8
: : 11 9
0 number 11 10
] ] 11 11
Decrb19 token 11 19
= = 11 21
( ( 11 23
Y20 token 11 26
<< shift_left 11 28
( ( 11 29
19 number 11 31
+ + 11 32
1 number 11 33
) ) 11 34
) ) 11 35
; ; 11 36
wire wire 12 4
[ [ 12 6
39 number 12 8
: : 12 9
0 number 12 10
] ] 12 11
Decr19 token 12 18
= = 12 20
Decra19 token 12 28
+ + 12 29
Decrb19 token 12 36
; ; 12 37
wire wire 13 4
[ [ 13 6
39 number 13 8
: : 13 9
0 number 13 10
] ] 13 11
YY19_1 token 13 18
= = 13 20
YY20 token 13 25
+ + 13 26
Decr19 token 13 32
; ; 13 33
wire wire 14 4
[ [ 14 6
39 number 14 8
: : 14 9
0 number 14 10
] ] 14 11
Base19 token 14 18
= = 14 20
40'b1 bin 14 27
<< shift_left 14 29
19 number 14 31
; ; 14 32
wire wire 15 4
smaller19 token 15 14
= = 15 16
( ( 15 19
YY19_1 token 15 25
<= sm_eq 15 27
datain20 token 15 35
) ) 15 36
; ; 15 37
wire wire 16 4
[ [ 16 6
39 number 16 8
: : 16 9
0 number 16 10
] ] 16 11
YY19 token 16 16
= = 16 18
smaller19 token 16 28
? ? 16 30
YY19_1 token 16 37
: : 16 39
YY20 token 16 44
; ; 16 45
wire wire 17 4
[ [ 17 6
19 number 17 8
: : 17 9
0 number 17 10
] ] 17 11
Y19 token 17 15
= = 17 17
smaller19 token 17 27
? ? 17 29
Y20 token 17 33
+ + 17 34
Base19 token 17 40
: : 17 42
Y20 token 17 46
; ; 17 47
wire wire 18 4
[ [ 18 6
39 number 18 8
: : 18 9
0 number 18 10
] ] 18 11
datain19 token 18 20
= = 18 22
datain20 token 18 31
; ; 18 32
wire wire 19 4
vld19 token 19 10
= = 19 12
vld20 token 19 18
; ; 19 19
wire wire 21 4
[ [ 21 6
39 number 21 8
: : 21 9
0 number 21 10
] ] 21 11
Decra18 token 21 19
= = 21 21
( ( 21 23
40'b1 bin 21 28
<< shift_left 21 30
( ( 21 31
2 number 21 32
* * 21 33
18 number 21 35
) ) 21 36
) ) 21 37
; ; 21 38
wire wire 22 4
[ [ 22 6
39 number 22 8
: : 22 9
0 number 22 10
] ] 22 11
Decrb18 token 22 19
= = 22 21
( ( 22 23
Y19 token 22 26
<< shift_left 22 28
( ( 22 29
18 number 22 31
+ + 22 32
1 number 22 33
) ) 22 34
) ) 22 35
; ; 22 36
wire wire 23 4
[ [ 23 6
39 number 23 8
: : 23 9
0 number 23 10
] ] 23 11
Decr18 token 23 18
= = 23 20
Decra18 token 23 28
+ + 23 29
Decrb18 token 23 36
; ; 23 37
wire wire 24 4
[ [ 24 6
39 number 24 8
: : 24 9
0 number 24 10
] ] 24 11
YY18_1 token 24 18
= = 24 20
YY19 token 24 25
+ + 24 26
Decr18 token 24 32
; ; 24 33
wire wire 25 4
[ [ 25 6
39 number 25 8
: : 25 9
0 number 25 10
] ] 25 11
Base18 token 25 18
= = 25 20
40'b1 bin 25 27
<< shift_left 25 29
18 number 25 31
; ; 25 32
wire wire 26 4
smaller18 token 26 14
= = 26 16
( ( 26 19
YY18_1 token 26 25
<= sm_eq 26 27
datain19 token 26 35
) ) 26 36
; ; 26 37
wire wire 27 4
[ [ 27 6
39 number 27 8
: : 27 9
0 number 27 10
] ] 27 11
YY18 token 27 16
= = 27 18
smaller18 token 27 28
? ? 27 30
YY18_1 token 27 37
: : 27 39
YY19 token 27 44
; ; 27 45
wire wire 28 4
[ [ 28 6
19 number 28 8
: : 28 9
0 number 28 10
] ] 28 11
Y18 token 28 15
= = 28 17
smaller18 token 28 27
? ? 28 29
Y19 token 28 33
+ + 28 34
Base18 token 28 40
: : 28 42
Y19 token 28 46
; ; 28 47
wire wire 29 4
[ [ 29 6
39 number 29 8
: : 29 9
0 number 29 10
] ] 29 11
datain18 token 29 20
= = 29 22
datain19 token 29 31
; ; 29 32
wire wire 30 4
vld18 token 30 10
= = 30 12
vld19 token 30 18
; ; 30 19
wire wire 32 4
[ [ 32 6
39 number 32 8
: : 32 9
0 number 32 10
] ] 32 11
Decra17 token 32 19
= = 32 21
( ( 32 23
40'b1 bin 32 28
<< shift_left 32 30
( ( 32 31
2 number 32 32
* * 32 33
17 number 32 35
) ) 32 36
) ) 32 37
; ; 32 38
wire wire 33 4
[ [ 33 6
