@0: info: enddefs 276
@0: info: loaded 212 nets and regs
@50: info: command write bytes=4096 to=0x14000  size=4
@54: info: #1100 aw addr=14000 size=4 len=15 totaw=256 
@56: info: #1140 aw addr=14100 size=4 len=15 totaw=512 
@56: info: command write bytes=4096 to=0x24000  size=4
@58: info: #1180 aw addr=14200 size=4 len=15 totaw=768 
@59: info: #1200 wd data=f0e0d0c0b0a09080706050403020100 wstrb=ffff  last=0 totdw=16
@60: info: #1220 aw addr=14300 size=4 len=15 totaw=1024 
@60: info: #1220 wd data=1f1e1d1c1b1a19181716151413121110 wstrb=ffff  last=0 totdw=32
@61: info: #1240 wd data=2f2e2d2c2b2a29282726252423222120 wstrb=ffff  last=0 totdw=48
@62: info: #1260 aw addr=14400 size=4 len=15 totaw=1280 
@62: info: #1260 wd data=3f3e3d3c3b3a39383736353433323130 wstrb=ffff  last=0 totdw=64
@62: info: command write bytes=4096 to=0x34000  size=4
@63: info: #1280 wd data=4f4e4d4c4b4a49484746454443424140 wstrb=ffff  last=0 totdw=80
@64: info: #1300 aw addr=14500 size=4 len=15 totaw=1536 
@64: info: #1300 wd data=5f5e5d5c5b5a59585756555453525150 wstrb=ffff  last=0 totdw=96
@65: info: #1320 wd data=6f6e6d6c6b6a69686766656463626160 wstrb=ffff  last=0 totdw=112
@66: info: #1340 aw addr=14600 size=4 len=15 totaw=1792 
@66: info: #1340 wd data=7f7e7d7c7b7a79787776757473727170 wstrb=ffff  last=0 totdw=128
@67: info: #1360 wd data=8f8e8d8c8b8a89888786858483828180 wstrb=ffff  last=0 totdw=144
@68: info: #1380 wd data=9f9e9d9c9b9a99989796959493929190 wstrb=ffff  last=0 totdw=160
@68: info: command write bytes=4096 to=0x44000  size=4
@69: info: #1400 wd data=afaeadacabaaa9a8a7a6a5a4a3a2a1a0 wstrb=ffff  last=0 totdw=176
@70: info: #1420 wd data=bfbebdbcbbbab9b8b7b6b5b4b3b2b1b0 wstrb=ffff  last=0 totdw=192
@71: info: #1440 wd data=cfcecdcccbcac9c8c7c6c5c4c3c2c1c0 wstrb=ffff  last=0 totdw=208
@72: info: #1460 wd data=dfdedddcdbdad9d8d7d6d5d4d3d2d1d0 wstrb=ffff  last=0 totdw=224
@73: info: #1480 wd data=efeeedecebeae9e8e7e6e5e4e3e2e1e0 wstrb=ffff  last=0 totdw=240
@74: info: #1500 wd data=fffefdfcfbfaf9f8f7f6f5f4f3f2f1f0 wstrb=ffff  last=1 totdw=256
@74: info: command write bytes=4096 to=0x54000  size=4
@76: info: #1540 wd data=f0e0d0c0b0a09080706050403020100 wstrb=ffff  last=0 totdw=272
@77: info: #1560 aw addr=14700 size=4 len=15 totaw=2048 
@77: info: #1560 wd data=1f1e1d1c1b1a19181716151413121110 wstrb=ffff  last=0 totdw=288
@78: info: #1580 wd data=2f2e2d2c2b2a29282726252423222120 wstrb=ffff  last=0 totdw=304
@79: info: #1600 wd data=3f3e3d3c3b3a39383736353433323130 wstrb=ffff  last=0 totdw=320
@80: info: #1620 wd data=4f4e4d4c4b4a49484746454443424140 wstrb=ffff  last=0 totdw=336
@80: info: command write bytes=4096 to=0x64000  size=4
@81: info: #1640 wd data=5f5e5d5c5b5a59585756555453525150 wstrb=ffff  last=0 totdw=352
@82: info: #1660 wd data=6f6e6d6c6b6a69686766656463626160 wstrb=ffff  last=0 totdw=368
@83: info: #1680 wd data=7f7e7d7c7b7a79787776757473727170 wstrb=ffff  last=0 totdw=384
@84: info: #1700 wd data=8f8e8d8c8b8a89888786858483828180 wstrb=ffff  last=0 totdw=400
@85: info: #1720 wd data=9f9e9d9c9b9a99989796959493929190 wstrb=ffff  last=0 totdw=416
@86: info: #1740 wd data=afaeadacabaaa9a8a7a6a5a4a3a2a1a0 wstrb=ffff  last=0 totdw=432
@86: info: command write bytes=4096 to=0x74000  size=4
@87: info: #1760 wd data=bfbebdbcbbbab9b8b7b6b5b4b3b2b1b0 wstrb=ffff  last=0 totdw=448
@88: info: #1780 wd data=cfcecdcccbcac9c8c7c6c5c4c3c2c1c0 wstrb=ffff  last=0 totdw=464
@89: info: #1800 wd data=dfdedddcdbdad9d8d7d6d5d4d3d2d1d0 wstrb=ffff  last=0 totdw=480
@90: info: #1820 wd data=efeeedecebeae9e8e7e6e5e4e3e2e1e0 wstrb=ffff  last=0 totdw=496
@91: info: #1840 wd data=fffefdfcfbfaf9f8f7f6f5f4f3f2f1f0 wstrb=ffff  last=1 totdw=512
@93: info: #1880 wd data=f0e0d0c0b0a09080706050403020100 wstrb=ffff  last=0 totdw=528
@94: info: #1900 aw addr=14800 size=4 len=15 totaw=2304 
@94: info: #1900 wd data=1f1e1d1c1b1a19181716151413121110 wstrb=ffff  last=0 totdw=544
@95: info: #1920 wd data=2f2e2d2c2b2a29282726252423222120 wstrb=ffff  last=0 totdw=560
@96: info: #1940 wd data=3f3e3d3c3b3a39383736353433323130 wstrb=ffff  last=0 totdw=576
@97: info: #1960 wd data=4f4e4d4c4b4a49484746454443424140 wstrb=ffff  last=0 totdw=592
@98: info: #1980 wd data=5f5e5d5c5b5a59585756555453525150 wstrb=ffff  last=0 totdw=608
@99: info: #2000 wd data=6f6e6d6c6b6a69686766656463626160 wstrb=ffff  last=0 totdw=624
@100: info: #2020 wd data=7f7e7d7c7b7a79787776757473727170 wstrb=ffff  last=0 totdw=640
@101: info: #2040 wd data=8f8e8d8c8b8a89888786858483828180 wstrb=ffff  last=0 totdw=656
@102: info: #2060 wd data=9f9e9d9c9b9a99989796959493929190 wstrb=ffff  last=0 totdw=672
@103: info: #2080 wd data=afaeadacabaaa9a8a7a6a5a4a3a2a1a0 wstrb=ffff  last=0 totdw=688
@104: info: #2100 wd data=bfbebdbcbbbab9b8b7b6b5b4b3b2b1b0 wstrb=ffff  last=0 totdw=704
@105: info: #2120 wd data=cfcecdcccbcac9c8c7c6c5c4c3c2c1c0 wstrb=ffff  last=0 totdw=720
@106: info: #2140 wd data=dfdedddcdbdad9d8d7d6d5d4d3d2d1d0 wstrb=ffff  last=0 totdw=736
@107: info: #2160 wd data=efeeedecebeae9e8e7e6e5e4e3e2e1e0 wstrb=ffff  last=0 totdw=752
@108: info: #2180 wd data=fffefdfcfbfaf9f8f7f6f5f4f3f2f1f0 wstrb=ffff  last=1 totdw=768
@110: info: #2220 wd data=f0e0d0c0b0a09080706050403020100 wstrb=ffff  last=0 totdw=784
@111: info: #2240 aw addr=14900 size=4 len=15 totaw=2560 
